"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Diplomado en BIM para Toma de Decisiones en Proyectos de Construcción e Infraestructura Sostenible","Educación Continua","Diplomado","Facultad de","Virtual","","","2900000","","","","","","","Este diplomado forma profesionales capaces de integrar Building Information Modeling (BIM) en la planificación, coordinación y gestión estratégica de proyectos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-bim-para-toma-de-decisiones-en-proyectos-de-construccion-e-infraestructura-sostenible"
"Diplomado en IA Generativa: Ingeniería de Prompts y Agentes Inteligentes","Educación Continua","Diplomado","Facultad de","Hyflex","","","3200000","","","","","","","Este diplomado ofrece una formación práctica y progresiva que abarca desde los fundamentos de la IA generativa y la ingeniería de prompts. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-ia-generativa-ingenieria-de-prompts-y-agentes-inteligentes"
"Diplomado en Seguridad de la Cadena de Suministros","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2625000","","","","","","equisitos del comercio internacional","El programa está diseñado con el fin de generar los conocimientos necesarios enfocados en la gestión de manera efectiva de actividades conducentes al fortalecimiento de la seguridad.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-seguridad-en-la-cadena-de-suministros"
"Diplomado en Gestión Integral de Ciberseguridad","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2800000","","","","","","equisitos de Seguridad Norma ISO 270001:2022 Total créditos: Módulo 2: Identificar el entorno empresarial (16 Horas) ID","Este diplomado ofrece una formación actualizada, integral y altamente práctica basada en el NIST Cybersecurity Framework 2.0 e integrando controles de la ISO/IEC 27001:2022.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-gestion-integral-de-ciberseguridad"
"Diplomado en Análisis de Elementos Finitos Prácticos","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2800000","","","","","","","Este diplomado ofrece una formación práctica y aplicada, con un enfoque claro en la comprensión del método más allá de la “caja negra”. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-analisis-de-elementos-finitos-practicos"
"Diplomado en Energía 360 | Universidad de La Sabana","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2800000","","","","","","","Brinda las herramientas y conocimientos para comprender el funcionamiento de los sistemas energéticos y la transición energética en Colombia.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-energia-360-economia-mercados-y-transicion-energetica-en-colombia"
"Diplomado en Lean-Six Sigma | Universidad de La Sabana","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2800000","","","","","","","Brinda las herramientas y técnicas para que el estudiante pueda identificar, describir y cuantificar los elementos que generan variabilidad en los procesos y productos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-hidrogeno-en-sistemas-productivos-para-la-descarbonizacion"
"Minor en Ciencia de Datos","Minor","","Facultad Oferta académica Cifras Nuestras instalaciones Nuestro Equipo Enlaces de interés","Híbrido","","16","","3814","130000","","","","equisitos Oferta Opciones de homologación Matemáticas para Ciencias de Datos 3 Facultad de Ingeniería Álgebra Lineal Ciencia de Datos con Python* 1 Virtual","La Ciencia de Datos es uno de los pilares fundamentales de la cuarta revolución industrial. ¡Ingresa y consulta más detalles ahora!","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-ingenieria/minor-en-ciencia-de-datos"
"Minor en Project Management","Minor","","Facultad Oferta académica Cifras Nuestras instalaciones Nuestro Equipo Enlaces de interés","Virtual","","12","","3814","130000","","","","","El Minor en Project Management les permite a estudiantes de pregrado de la Universidad de La Sabana profundizar en las metodologías existentes para la gestión de proyectos.","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-ingenieria/minor-en-project-management"
"Minor en Diseño y Desarrollo de Videojuegos","Minor","","Facultad Oferta académica Cifras Nuestras instalaciones Nuestro Equipo Enlaces de interés","Virtual","","16","","3814","130000","","","","","El Minor en Diseño y Desarrollo de Videojuegos es una iniciativa de la Facultad de Ingeniería y la Facultad de Comunicación de la Universidad de La Sabana.","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-ingenieria/minor-en-diseno-y-desarrollo-de-videojuegos"
"Minor en Energías Renovables y Sostenibilidad","Minor","","Facultad Oferta académica Cifras Nuestras instalaciones Nuestro Equipo Enlaces de interés","Virtual","","12","","3814","130000","","","","","Este Minor busca desarrollar habilidades para el uso de herramientas en aras de promover la consciencia ambiental, permitir la transición energética hacia fuentes energéticas alternativas y la implementación de los principios de ingeniería verde.","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-ingenieria/minor-en-energias-renovables-y-sostenibilidad"
"Medicina","Pregrado","","Relacionados Contacto Información del programa El programa de","Presencial","12","298","34419000","9060","130000","2518","Médico","Acreditación mediante Resolución No","equisitos y pasos para ser parte del mejor programa de Medicina","El programa de Medicina MEDICUS, tiene una duración de 12 semestres y se dedica a la formación de médicos comprometidos con el bienestar de las personas, las familias y las comunidades.","Medicina, carrera de Medicina, estudiar medicina, universidad de medicina, facultad de medicina","https://www.unisabana.edu.co/programas/pregrados/medicina"
"Especialización en Medicina Interna","Posgrado","Especialización","FACULTAD DE","Presencial","6","222","26234000","40","150000","53093","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","La Especialización en Medicina Interna forma médicos con conocimientos y habilidades para la promoción, prevención, diagnóstico, tratamiento y rehabilitación de enfermedades en adultos.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-medicina-interna"
"Especialización en Medicina del Dolor y Cuidados Paliativos","Posgrado","Especialización","FACULTAD DE","Presencial","6","162","21609000","","","107625","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","La Especialización en Medicina del Dolor y Cuidados Paliativos forma especialistas integrales que respondan a las necesidades de las personas con enfermedades crónicas y progresivas.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-medicina-del-dolor-y-cuidados-paliativos"
"Especialización en Reumatología","Posgrado","Especialización","FACULTAD DE","Presencial","4","136","23224000","","","111093","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","Reumatología de la Universidad de La Sabana, forma especialistas altamente capacitados para abordar integralmente las enfermedades reumáticas.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-reumatologia"
"Especialización en Bioética","Posgrado","Especialización","FACULTAD DE","Presencial","2","21","10811000","","150000","5111","","","","La Especialización en Bioética ofrece una formación filosófica, antropológica y bioética centrado en el respeto incondicional a la persona humana y a la familia.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-bioetica"
"Maestría en Bioética","Posgrado","Maestría","FACULTAD DE","Presencial","3","36","10811000","","150000","103095","","","","Bioética de la Universidad de La Sabana prevista para tres semestres se identifica con un sólido componente de formación filosófica, antropológica y bioética.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-bioetica"
"Maestría en Epidemiología","Posgrado","Maestría","FACULTAD DE","Presencial","3","38","18152000","","150000","105105","","","equisitos de conocimiento del inglés como mínimo demostrar un nivel 4 ante el Departamento de Lenguas extranjera de la Universidad de La Sabana","Epidemiología se ha organizado sobre la base de las competencias establecidas para el graduado de acorde con el perfil profesional del epidemiólogo.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-epidemiologia"
"Maestría en Salud Pública","Posgrado","Maestría","FACULTAD DE","Presencial","3","36","16467000","","150000","106203","","","Accreditation -APHEA) de la Unión Europea","La Maestría en Salud Pública ofrece una mirada global a través de la aproximación a los fundamentos de la generalidad de las Funciones Esenciales de la Salud Pública (FESP).","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-salud-publica"
"Maestría en Educación Médica","Posgrado","Maestría","FACULTAD DE","Presencial","4","50","13375000","","150000","106434","","","","La Maestría en Educación Médica tiene una duración de cuatro semestres, combina modalidad presencial y virtual para garantizar una formación flexible y de alta calidad.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-educacion-medica"
"Especialización en Cuidado Intensivo Pediátrico","Posgrado","Especialización","FACULTAD DE","Presencial","4","108","24478000","","150000","102233","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","La Especialización en Cuidado Intensivo Pediátrico de la Universidad de La Sabana, además de plantear una clara formación en el manejo integral del paciente pediátrico en estado crítico.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-cuidado-intensivo-pediatrico"
"Especialización en Farmacología Clínica","Posgrado","Especialización","FACULTAD DE","Presencial","6","237","22708000","","150000","54044","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","La Farmacología Clínica se ocupa del estudio científico de los medicamentos en el ser humano y tiene como sus principales objetivos la investigación.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-farmacologia-clinica"
"Especialización en Medicina Crítica y Cuidado Intensivo","Posgrado","Especialización","FACULTAD DE","Presencial","8","308","24171000","","150000","51633","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","La Especialización en Medicina Crítica y Cuidado Intensivo ofrece una formación integral que combina conocimientos teóricos de vanguardia con práctica clínica intensiva en escenarios reales.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-medicina-critica-y-cuidado-intensivo"
"Especialización en Gastroenterología","Posgrado","Especialización","FACULTAD DE","Presencial","4","128","22486000","","150000","105478","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","El Programa de Especialización en Gastroenterología de la Universidad de La Sabana ofrece continuidad en la formación de médicos internistas y cirujanos generales.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gastroenterologia"
"Especialización en Medicina Familiar","Posgrado","Especialización","FACULTAD DE","Presencial","6","190","16091000","","150000","111564","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","El Programa de Medicina Familiar de la Universidad de La Sabana lleva 18 años formando especialistas con los más altos estándares humanos y académicos.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-medicina-familiar"
"Especialización en Neurología","Posgrado","Especialización","FACULTAD DE","Presencial","8","308","26972000","","150000","91371","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","El programa de neurología forma médicos con la evidencia más actualizada para que sean competentes en la prevención, diagnóstico, manejo y rehabilitación de la patología.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-neurologia"
"Especialización en Oftalmología","Posgrado","Especialización","FACULTAD DE","Presencial","6","204","26972000","","150000","54045","","","equisitos- Virtual: Exámen de inglés, pruebas psicoténicas","El Programa de Especialización en Oftalmología de la Universidad de La Sabana inició en 2008 y, desde entonces, ha formado oftalmólogos líderes en su especialidad.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-oftalmologia"
"Especialización en Anestesiología y Medicina Perioperatoria","Posgrado","Especialización","FACULTAD DE","Presencial","6","198","27780000","40","150000","54311","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","La Especialización en Anestesiología y Medicina Perioperatoria forma médicos especialistas que posean los conocimientos, capacidades y habilidades.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-anestesiologia-y-medicina-perioperatoria"
"Especialización en Ginecología y Obstetricia","Posgrado","Especialización","FACULTAD DE","Presencial","8","308","","","150000","55106","","","equisito exigido en Colombia para realizar una segunda especialidad como es mastología, contribuyendo de esta forma a la detección temprana y al tratamient","Nuestros especialistas en ginecología y obstetricia cuentan con una visión integral y un enfoque centrado en la mujer y su entorno familiar. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-ginecologia-y-obstetricia"
"Especialización en Pediatría","Posgrado","Especialización","FACULTAD DE","Presencial","6","223","26972000","","150000","52320","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","La Especialización en Pediatría de la Universidad de La Sabana busca a través de una formación integral que el graduado adquiera la capacidad resolutiva de problemas.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-pediatria"
"Especialización en Medicina Física y Rehabilitación","Posgrado","Especialización","FACULTAD DE","Presencial","6","206","22931000","","150000","52319","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","Física y Rehabilitación de la Universidad de La Sabana es una especialidad médica que enfoca su quehacer a la evaluación de la pérdida de la funcionalidad.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-medicina-fisica-y-rehabilitacion"
"Especialización en Radiología e Imágenes Diagnósticas","Posgrado","Especialización","FACULTAD DE","Presencial","8","296","27780000","","150000","53010","","","equisitos de Ley, registro médico, con liderazgo, que conozca el rol del radiólogo y de la radiología en Colombia, y debe tener especial interés en el ámbi","La Especialización en Radiología e Imágenes Diagnósticas de la Universidad de La Sabana provee la incorporación de modernas tecnologías y sistemas pedagógicos de forma interdisciplinaria.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-radiologia-e-imagenes-diagnosticas"
"Especialización en Cirugía General","Posgrado","Especialización","FACULTAD DE","Presencial","8","328","25216000","","150000","53094","","","equisitos- Virtual: Exámen de inglés, pruebas psicoténicas","El programa de Cirugía General de la Universidad de La Sabana forma especialistas con los más altos estándares de calidad humana, profesional y ética.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-cirugia-general"
"Especialización en Neumología","Posgrado","Especialización","FACULTAD DE","Presencial","4","141","6395000","","150000","51638","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","Nuestros especialistas adquieren competencias en investigación y en la transmisión de conocimientos, participando además de los programas y proyectos de responsabilidad social.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-neumologia"
"Especialización en Neumología Pediátrica","Posgrado","Especialización","FACULTAD DE","Presencial","4","117","6395000","","150000","109766","","","equisitos- Virtual: Examen de inglés, pruebas psicotécnicas","El programa de Especialización en Neumología Pediátrica de la Universidad de La Sabana, en alianza con la Fundación Neumológica Colombiana y la Fundación Cardioinfantil.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-neumologia-pediatrica"
"Especialización en Electrofisiología Cardiovascular","Posgrado","Especialización","Facultad de Medicina","Presencial","4","148","26234000","","150000","101290","","","","El Especialista en Electrofisiología Cardiovascular poseerá las capacidades, habilidades, destrezas, aptitudes y actitudes para realizar labores de promoción de la salud y prevención.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-electrofisiologia-cardiovascular"
"Doctorado en Ciencias Clínicas","Posgrado","Doctorado","FACULTAD DE","Virtual","8","94","22120000","5805","150000","117063","","","","El Doctorado en Ciencias Clínicas de la Universidad de La Sabana es un programa presencial de excelencia, orientado a profesionales de la salud que desean liderar la investigación clínica.","","https://www.unisabana.edu.co/programas/posgrados/doctorado-en-ciencias-clinicas"
"Especialización en Ortopedia y Traumatología","Posgrado","Especialización","FACULTAD DE","Presencial","6","308","26375000","","150000","","","","equisitos- Virtual: Exámen de inglés, pruebas psicoténicas","La Universidad de La Sabana forma médicos especialistas con sólida preparación clínica, quirúrgica e investigativa para el diagnóstico. ¡Ingresa!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-ortopedia-y-traumatologia"
"Diplomado en Liderazgo en Educación Quirúrgica","Educación Continua","Diplomado","FACULTAD DE","Híbrido","","","","","","","","","","Se enfoca en la comprensión de las características propias del aprendizaje en el ambiente de trabajo quirúrgico. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-liderazgo-en-educacion-quirurgica"
"Diplomado Fisiología del ejercicio","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","","","","","","","","El diplomado tiene como objetivo que los participantes comprendan el origen de las respuestas y adaptaciones que frente al ejercicio físico.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-fisiologia-del-ejercicio"
"Curso BLS (Soporte Vitál Básico)","Educación Continua","Curso","FACULTAD DE","Híbrido","","","","","","","","","","Actualizar y practicar el reconocimiento y atención a una persona con emergencia cardio pulmonar, reconocimiento y manejo de arritmias básico del paciente adulto.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-bls-soporte-vital-basico"
"Curso ACLS (Soporte Vital Cardiológico Avanzado)","Educación Continua","Curso","FACULTAD DE","Híbrido","","","","","","","","","","El curso de SVCA/ACLS para profesionales de la salud con experiencia está diseñado para obtener mejores resultados en emergencias cardiovasculares.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-acls-soporte-vital-cardiologico-avanzado"
"Curso PEARS","Educación Continua","Curso","","Presencial","","","","","","","","","equisitos, fechas y beneficios para apoyar tu formación académica","Desarrolla las habilidades esenciales para reconocer y atender emergencias cardiopulmonares en niños. A través de entrenamiento práctico y actualizado.","","https://www.unisabana.edu.co/programas/educacion-continua/curso-pears"
"Diplomado en Educación en Salud potenciada con Inteligencia Artificial","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3200000","","","","","","","El diplomado está diseñado para equipar a profesores y líderes académicos con herramientas tecnológicas de vanguardia. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/educaci%C3%B3n-en-salud-potenciada-con-inteligencia-artificial"
"Psicología","Pregrado","","Facultad de Ciencias del Comportamiento","Presencial","8","142","","4591","14","1238","Psicólogo","Acreditación mediante Resolución No 017203 del 24 de octubre de 2018, por 6 años otorgada por el Ministerio de Educación Nacional","","La carrera de Psicología forma profesionales competentes en investigación para comprender fenónemos psicológicos desde una perspectiva integral. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/pregrados/psicologia"
"Comportamiento Organizacional","Pregrado","","Facultad de Ciencias del Comportamiento Comportamiento Organizacional Comportamiento Organiza","Presencial","8","137","","4591","130000","117265","Profesional en Comportamiento Organizacional","","","La carrera de Comportamiento Organizacional es el primer programa en Latinoamérica que busca entender y mejorar el comportamiento en las organizaciones.","Facultad de Ciencias del Comportamiento, Estudiar Comportamiento Organizacional, Pregrado, Presencial,Virtual","https://www.unisabana.edu.co/programas/pregrados/comportamiento-organizacional"
"Maestría en Psicología Clínica de la niñez y de la adolescencia","Posgrado","Maestría","FACULTAD DE CIENCIAS DEL COMPORTAMIENTO Maestría en","Presencial","4","1","","","150000","110809","Magíster en Psicología Clínica de la Niñez y la Adolescencia","","equisitos de inscripción, presentará una prueba sobre conocimientos básicos en psicología clínica","Clínica de la Niñez y la Adolescencia de la Universidad de La Sabana busca formar expertos en procesos de evaluación e intervención de problemáticas.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-psicologia-clinica-de-la-ninez-y-de-la-adolescencia"
"Maestría en Gerencia y Desarrollo de Personas","Posgrado","Maestría","","Presencial","3","1","","4404","150000","106831","Magíster en Gerencia y Desarrollo de Personas Tipo de programa: Maestría de profundización","","","La Maestría en Gerencia y Desarrollo de Personas forma una nueva generación de líderes con la capacidad de diseñar modelos de gestión de personas que integren lo humano con la tecnología.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-gerencia-y-desarrollo-de-personas"
"Maestría en Psicología","Posgrado","Maestría","FACULTAD DE CIENCIAS DEL COMPORTAMIENTO Maestría en","Virtual","3","1","","3975","150000","101670","Magíster en Psicología","","equisitos para estudiantes colombianos: Realizar inscripción en línea a través de la página web y el pago de los derechos de inscripción","La Maestría en Psicología, con énfasis en investigación, de la Universidad de La Sabana te forma en metodologías de investigación en el comportamiento humano.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-psicologia"
"Maestría en Psicología de la Salud y la Discapacidad","Posgrado","Maestría","FACULTAD DE CIENCIAS DEL COMPORTAMIENTO Maestría en","Presencial","4","1","","","150000","91028","Magíster en Psicología de la Salud y la Discapacidad","","equisitos Hoja de vida actualizada","La Maestría en Psicología de la Salud y la Discapacidad de la Universidad de La Sabana es única en Latinoamérica, integrando salud y discapacidad desde la mirada de la intervención psicosocial.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-psicologia-de-la-salud-y-la-discapacidad"
"Especialización en Psicología Educativa","Posgrado","Especialización","FACULTAD DE CIENCIAS DEL COMPORTAMIENTO Especialización en","Presencial","2","1","","","150000","54340","Especialista en Psicología Educativa Modalidad: Clases presenciales - virtuales: se desarrollarán en el campus de la Uni","","equisitos Ser profesional en las áreas que aparecen en el perfil de ingreso","La Especialización en Psicología Educativa de la Universidad de La Sabana te forma como agente de cambio en entornos educativos. Con un enfoque alineado a tendencias globales.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-psicologia-educativa"
"Especialización en Psicología Clínica de la Niñez y la Adolescencia","Posgrado","Especialización","FACULTAD DE CIENCIAS DEL COMPORTAMIENTO Especialización en","Presencial","2","1","","","150000","53518","Especialista en Psicología Clínica de la Niñez y de la Adolescencia","","equisitos Ser profesional en las áreas que aparecen en el perfil de ingreso","La Especialización en Psicología Clínica de la Niñez y la Adolescencia responde a las necesidades del país en salud mental infantil y juvenil.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-psicologia-clinica-de-la-ninez-y-la-adolescencia"
"Doctorado en Psicología","Posgrado","Doctorado","FACULTAD DE CIENCIAS DEL COMPORTAMIENTO Doctorado en","Presencial","8","1","","","150000","110808","Doctor en Psicología Tipo de programa: Doctorado Horarios: Viernes de 8:00 a","","equisitos de cada opción Los siguientes documentos son los solicitados por la Universidad de La Sabana","La Facultad de Ciencias del Comportamiento cuenta como programa de máxima titulación con el Doctorado en Psicología.","","https://www.unisabana.edu.co/programas/posgrados/doctorado-en-psicologia"
"Maestría en Psicología Educativa","Posgrado","Maestría","FACULTAD DE CIENCIAS DEL COMPORTAMIENTO Maestría en","Virtual","4","1","14285000","","150000","117264","Magíster en Psicología Educativa Registro calificado según Resolución No 015764 del 17 de septiembre de 2024","","equisitos Título de pregrado finalizado (en cualquier área del conocimiento)","La Maestría en Psicología Educativa forma profesionales de diversas áreas para evaluar con rigor, diseñar e implementar intervenciones y gestionar procesos en contextos formales y no formales.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-psicologia-educativa"
"Curso corto - Salud Mental en el Trabajo: Camino Hacia el Bienestar","Educación Continua","Curso","Microcurso -","Virtual","","","","","","","","","","El curso se ha creado con el objetivo de formar a los participantes en conceptos y herramientas que les permitan alcanzar una comprensión amplia de las dinámicas.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-corto-salud-mental-en-el-trabajo-camino-hacia-el-bienestar"
"Diplomado - Inteligencia Artificial Generativa y Comportamiento | Universidad de La Sabana","Educación Continua","Diplomado","Microcurso -","Virtual","","","","","","","","","equisitos para el curso y material de preparación Enlaces de interés Ayudas económicas Contáctanos Formación Complementaria Inscríbete Solicitar informació","En los últimos años, la Inteligencia Artificial IA, ha experimentado un desarrollo exponencial, transformando diversos campos del conocimiento y la sociedad.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-behavioral-data-science"
"Curso - Psicología Deportiva","Educación Continua","Curso","Facultad de Ciencias del Comportamiento Curso -","Virtual","","","","","","","","","","Este programa busca centrarse en 4 etapas del proceso en psicología deportiva: La evaluación, el diagnóstico, la planificación, y la intervención. A lo largo de cada uno de estos 4 módulos.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-psicologia-deportiva"
"Microcurso - Psicología Canina: bienestar para tu perro","Educación Continua","Curso","Facultad de Ciencias del Comportamiento Microcurso -","Virtual","","","","","","","","","","Este es un curso orientado a personas que tienen perros y quieren conocer mejor su comportamiento, mejorar su relación con ellos e incluso, aprender sobre como adiestrarlos.","","https://www.unisabana.edu.co/programas/educacion-continua/microcurso/microcurso-psicologia-canina-bienestar-para-tu-perro"
"Microcurso - Convirtiendo el Miedo en un Superpoder","Educación Continua","Curso","Microcurso -","Presencial","","","","","","","","","","Este microcurso tiene el objetivo de promover habilidades de flexibilidad psicológica en adolescentes, desde un enfoque contextual basado en el modelo DNA-V propuesto por Hayes y Chiarocchi (2015).","","https://www.unisabana.edu.co/programas/educacion-continua/microcurso/microcurso-convirtiendo-el-miedo-en-un-superpoder"
"Diplomado en Abordaje de Problemáticas Clínicas desde Terapias de Tercera Generación","Educación Continua","Diplomado","Microcurso -","Virtual","","","","","","","","","","Este programa está diseñado para ofrecerte una comprensión rigurosa y práctica en psicología clínica. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-abordaje-de-problematicas-clinicas-desde-terapias-de-tercera-generacion"
"Diplomado en Comportamiento Criminal","Educación Continua","Diplomado","Microcurso -","Virtual","","","","","","","","","","Este programa te ofrece la oportunidad de profundizar en las competencias interdisciplinarias necesarias para comprender el comportamiento criminal desde una perspectiva amplia e integral.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-comportamiento-criminal"
"Diplomado en Salud Mental Perinatal","Educación Continua","Diplomado","Microcurso -","Virtual","","","","","","","","","","Este diplomado busca comprender las transformaciones sociales, de identidad y de roles que atraviesan las mujeres y las familias cuando se encuentran en proceso de gestación.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-salud-mental-perinatal"
"Minor en Neurociencias Aplicadas","Educación Continua","","Microcurso -","Presencial","","","","","","","","","","El Minor en Neurociencias Aplicadas promueve un acercamiento aplicado a las neurociencias permitiendo enriquecer los procesos de aprendizaje.","","https://www.unisabana.edu.co/programas/educacion-continua/minor-en-neurociencias-aplicadas"
"Diplomado en Innovación Social: Lidera el Cambio, Evalúa el Impacto","Educación Continua","Diplomado","Microcurso -","Virtual","","","","","","","","","","Este diplomado ofrece una formación integral en los fundamentos y metodologías de la innovación social como estrategia para el cambio y la transformación tanto comunitaria como organizacional.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-innovacion-social-lidera-el-cambio-evalua-el-impacto"
"Diplomado en Neurociencias Aplicadas","Educación Continua","Diplomado","Microcurso -","Virtual","","","","","","","","","","Este Diplomado promueve un acercamiento aplicado a las neurociencias, que permite enriquecer procesos en múltiples disciplinas a través de la comprensión.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-neurociencias-aplicadas"
"Diplomado en Psicología y Ciencias del Comportamiento Aplicadas al Deporte","Educación Continua","Diplomado","Facultad de Ciencias del Comportamiento Diplomado en","Virtual","","","","","","","","","","Es un programa de educación continua de carácter introductorio, ofertado en modalidad virtual, que forma a profesionales de la psicología y las ciencias del deporte en los fundamentos teóricos, metodológicos y aplicados del campo, con énfasis en el desarrollo de competencias prácticas transferibles a contextos reales de trabajo.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-psicologia-y-ciencias-del-comportamiento-aplicadas-al-deporte"
"Certificación en Inclusión Laboral de Personas con Discapacidad","Educación Continua","","Microcurso -","Presencial","","","","","","","","","","Esta certificación aporta al cumplimiento de la reforma laboral en Colombia; en particular, en lo referido a la inclusión de personas con discapacidad en la planta de las organizaciones, desarrollando procesos con altos niveles de accesibilidad, calidad y pertinencia.","","https://www.unisabana.edu.co/programas/educacion-continua/certificacion-en-Inclusion-laboral-de-personas-con-discapacidad"
"Minor en Procesos Psicológicos","Minor","","","Presencial","","14","","3814","130000","","","","","El Minor está dirigido a todos los estudiantes de la Universidad de La Sabana que quieran profundizar sus conocimientos sobre los procesos psicológicos que están en la base del comportamiento humano.","","https://www.unisabana.edu.co/programas/pregrados/psicologia/minor-en-procesos-psicologicos"
"Especialización en Gestión del Conocimiento Organizacional","Posgrado","Especialización","","Presencial","2","24","16759000","","168000","116432","","","equisitos de Admisión 1","La Especialización tiene como objetivo formar profesionales capaces de identificar, gestionar y optimizar el conocimiento como recurso estratégico en las organizaciones.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gestion-del-conocimiento-organizacional"
