"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Diplomado en Innovación y emprendimiento para creadores digitales","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3767000","","","","","","","El diplomado de Innovación y emprendimiento para creadores digitales explora, desarrolla y actualiza las habilidades necesarias para crear contenidos que requiere hoy el mercado.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-innovacion-y-emprendimiento-para-creadores-digitales"
"Diplomado en Fundamentos para el Diseño de interiores","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2800000","","","","","","","Fundamentos para el diseño de interiores es un curso que tiene como propósito que el participante conozca los lineamientos básicos del diseño de interiores.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-fundamentos-para-el-diseno-de-interiores"
"Curso Construcción de Contenidos Educativos para entornos Virtuales","Educación Continua","Curso","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","","","","","","","abeth Gutiérrez Cuervo Magíster en Informática Educativa, coordinadora de proyectos y relacionamiento de Unisabana e-learning , con experiencia en planeac","Al final del curso el estudiante cumplirá la meta de construir la autoría de una unidad de aprendizaje real empleando los parámetros proporcionados.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-construccion-de-contenidos-educativos-para-entornos-virtuales"
"Diplomado en Comunicación y Marketing de Turismo virtual","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2570400","","","","","","","Diplomado en Comunicación y Marketing de Turismo virtual. ¡Ingresa y consulta más detalles del programa del Diplomado.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-comunicacion-y-marketing-de-turismo-virtual"
"Curso Fundamentos de Aprendizaje Experiencial","Educación Continua","Curso","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","1252000","","","","","","","El curso está diseñado de tal manera que los participantes puedan conocer y familiarizarse con los fundamentos del Aprendizaje Experiencial para poder incorporarlos de forma intencionada.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-fundamentos-de-aprendizaje-experiencial"
"Diplomado en Bases moleculares de la expresión de los genes","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2625000","","","","","","abetes Mellitus","Diplomado en Bases moleculares de la expresión de los genes. Conoce más detalles en bases moleculares en expresión de los genes.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-bases-moleculares-de-la-expresion-de-los-genes"
"Diplomado en Inteligencia Artificial en Salud","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3350000","","","","","","","Diplomado en Inteligencia Artificial en Salud. Consulta más detalles del Diplomado en Inteligencia Artificial en Salud.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-inteligencia-artificial-en-salud"
"Diplomado en Gestión Integral de Programas y Proyectos Sociales","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2100000","","","","","","","Diplomado en Gestión Integral de Programas y Proyectos Sociales. ¡Consulta más acerca de programa del Diplomado!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-gestion-integral-de-programas-y-proyectos-sociales"
"Diplomado en Excel para el Manejo de Datos","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2110000","","","","","","","El Diplomado brindará a los participantes las competencias necesarias para integrar en su actividad profesional diaria el uso de Microsoft Excel para la gestión y manejo de datos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-excel-para-el-manejo-de-datos"
"Diplomado en Transformaciones en la Gestión del Talento Humano","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","10","","2610000","","","","","","","Diplomado en Transformaciones en la Gestión del Talento Humano. ¡Ingresa y consulta más detalles de nuestro diplomado!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-transformaciones-en-la-gestion-del-talento-humano"
"Diplomado en Derechos Humanos","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2500000","","","","","","","Este curso permitirá a los estudiantes adquirir y perfeccionar una serie de competencias teóricas y prácticas en relación con la defensa y garantía de los derechos humanos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-derechos-humanos"
